Movie Title,Release Date,Genre,Director (1),Director (2),Cast (1),Cast (2),Cast (3),Cast (4),Cast (5),Budget ,Revenue
The Woman in Black,03-02-2012,Horror,James Watkins,,Daniel Radcliffe,CiarÃ¡n Hinds,Janet McTeer,Liz White,Alisa Khazanova,"$15,000,000.00","$128,500,000.00"
The Woman in Black: Angel of Death,30-12-2014,Horror,Tom Harper,,Phoebe Fox,Jeremy Irvine,Helen McCrory,Adrian Rawlins,Oaklee Pendergast,"$15,000,000.00","$48,900,000.00"
The World's End,19-07-2013,Comedy,Edgar Wright,,Simon Pegg,Nick Frost,Paddy Considine,Martin Freeman,Eddie Marsan,"$20,000,000.00","$46,100,000.00"
The Young Messiah,11-03-2016,Drama,Cyrus Nowrasteh,,Adam Greaves-Neal,Sean Bean,,,,"$18,500,000.00","$7,200,000.00"
Think Like a Man,20-04-2012,Comedy,Tim Story,,Kevin Hart,Michael Ealy,Taraji P. Henson,Jerry Ferrara,Meagan Good,"$12,000,000.00","$96,100,000.00"
This Is the End,12-06-2013,Comedy,Evan Goldberg,Seth Rogen,Seth Rogen,Jay Baruchel,James Franco,Craig Robinson,Danny McBride,"$32,000,000.00","$126,000,000.00"
This Is Where I Leave You,19-09-2014,Comedy,Shawn Levy,,Jason Bateman,Tina Fey,Jane Fonda,Timothy Olyphant,Corey Stoll,"$19,800,000.00","$41,300,000.00"
This Means War,17-02-2012,Action,McG,,Tom Hardy,Chris Pine,Reese Witherspoon,Chelsea Handler,Til Schweiger,"$65,000,000.00","$156,500,000.00"
Top Five,06-09-2014,Comedy,Chris Rock,,Chris Rock,Rosario Dawson,Genevieve Angelson,Rachel Feinstein,Dan Naturman,"$12,000,000.00","$26,100,000.00"
Top Gun 3D,08-02-2013,Action,Tony Scott,,Tom Cruise,Kelly McGillis,Val Kilmer,James Tolkan,Tom Skerritt,"$15,000,000.00","$356,800,000.00"
Total Recall,03-08-2012,Action,Len Wiseman,,Colin Farrell,Jessica Biel,Bryan Cranston,Kate Beckinsale,Bill Nighy,"$125,000,000.00","$198,500,000.00"
Trance,27-03-2013,Crime,Danny Boyle,,James McAvoy,Vincent Cassel,Rosario Dawson,Tuppence Middleton,Lee Nicholas Harris,"$20,000,000.00","$24,300,000.00"
Transcendence,10-04-2014,Sci-Fi,Wally Pfister,,Johnny Depp,Paul Bettany,Rebecca Hall,Kate Mara,Morgan Freeman,"$100,000,000.00","$103,000,000.00"
Triple 9,16-02-2016,Crime,John Hillcoat,,Kate Winslet,Woody Harrelson,Gal Gadot,Anthony Mackie,Teresa Palmer,"$20,000,000.00","$23,400,000.00"
Trouble with the Curve,21-09-2012,Drama,Robert Lorenz,,Clint Eastwood,Amy Adams,Matthew Lillard,Justin Timberlake,John Goodman,"$60,000,000.00","$49,000,000.00"
Trumbo,12-09-2015,Drama,Jay Roach,,Bryan Cranston,Diane Lane,Helen Mirren,John Goodman,Elle Fanning,"$15,000,000.00","$8,200,000.00"
Truth,12-09-2015,Drama,James Vanderbilt,,Robert Redford,Cate Blanchett,Dennis Quaid,Topher Grace,Elisabeth Moss,"$9,600,000.00","$5,400,000.00"
Turbo,17-07-2013,Comedy,David Soren,,Ryan Reynolds,Paul Giamatti,Michael PeÃ±a,Luis GuzmÃ¡n,Bill Hader,"$127,000,000.00","$282,600,000.00"
Tusk,06-09-2014,Horror,Kevin Smith,,Michael Parks,Justin Long,Haley Joel Osment,GÃ©nesis RodrÃ­guez,Johnny Depp,"$3,000,000.00","$1,900,000.00"
Unbroken,17-11-2014,Drama,Angelina Jolie,,Jack O'Connell,Miyavi,Domhnall Gleeson,Garrett Hedlund,Jai Courtney,"$65,000,000.00","$163,400,000.00"
Unfinished Business,06-03-2015,Comedy,Ken Scott,,Vince Vaughn,Tom Wilkinson,Dave Franco,Sienna Miller,Nick Frost,"$35,000,000.00","$14,400,000.00"
Unfriended,20-07-2014,Horror,Levan Gabriadze,,Shelley Hennig,Renee Olstead,Jacob Wysocki,Will Peltz,,"$1,000,000.00","$64,100,000.00"
Vacation,29-07-2015,Adventure,John Francis Daley,Jonathan Goldstein,Ed Helms,Christina Applegate,Leslie Mann,Chris Hemsworth,Charlie Day,"$31,000,000.00","$104,900,000.00"
Vampire Academy,07-02-2014,Action,Mark Waters,,Zoey Deutch,Lucy Fry,Danila Kozlovsky,,,"$30,000,000.00","$15,400,000.00"
Veronica Mars,14-03-2014,Mystery,Rob Thomas,,Kristen Bell,Jason Dohring,Krysten Ritter,Ryan Hansen,Francis Capra,"$6,000,000.00","$3,500,000.00"
Victor Frankenstein,25-11-2015,Horror,Paul McGuigan,,Daniel Radcliffe,James McAvoy,Jessica Brown Findlay,Andrew Scott,,"$40,000,000.00","$34,200,000.00"
Wanderlust,24-02-2012,Comedy,David Wain,,Paul Rudd,Jennifer Aniston,Malin Akerman,Justin Theroux,Ken Marino,"$35,000,000.00","$24,200,000.00"
War Dogs,19-08-2016,Crime,Todd Phillips,,Jonah Hill,Miles Teller,Ana de Armas,J. B. Blanc,,"$40,000,000.00","$42,700,000.00"
War Room,28-08-2015,Drama,Alex Kendrick,,Alex Kendrick,Priscilla Shirer,T.C. Stallings,Beth Moore,Karen Abercrombie,"$3,000,000.00","$73,700,000.00"
Warcraft,10-06-2016,Action,Duncan Jones,,Ben Foster,Travis Fimmel,Paula Patton,Toby Kebbell,Dominic Cooper,"$160,000,000.00","$433,500,000.00"
Warm Bodies,01-02-2013,Comedy,Jonathan Levine,,Nicholas Hoult,Teresa Palmer,Rob Corddry,John Malkovich,Analeigh Tipton,"$35,000,000.00","$117,000,000.00"
What Maisie Knew,03-05-2013,Drama,Scott McGehee,David Siegel,Julianne Moore,Steve Coogan,Alexander SkarsgÃ¥rd,Joanna Vanderham,Onata Aprile,"$5,000,000.00","$2,700,000.00"
What to Expect When You're Expecting,18-05-2012,Comedy,Kirk Jones,,Cameron Diaz,Jennifer Lopez,Brooklyn Decker,Elizabeth Banks,Anna Kendrick,"$40,000,000.00","$84,400,000.00"
When the Game Stands Tall,04-08-2014,Religious,Thomas Carter,,Jim Caviezel,Laura Dern,Michael Chiklis,Alexander Ludwig,,"$15,000,000.00","$30,100,000.00"
Whiplash,16-01-2014,Drama,Damien Chazelle,,J. K. Simmons,Miles Teller,Paul Reiser,Melissa Benoist,,"$3,300,000.00","$49,000,000.00"
Whiskey Tango Foxtrot,04-03-2016,Drama,Glenn Ficarra,John Requa,Tina Fey,Margot Robbie,Martin Freeman,Billy Bob Thornton,Alfred Molina,"$35,000,000.00","$24,900,000.00"
White House Down,28-06-2013,Action,Roland Emmerich,,Channing Tatum,Jamie Foxx,Maggie Gyllenhaal,James Woods,Richard Jenkins,"$150,000,000.00","$205,000,000.00"
Wild,29-08-2014,Drama,Jean-Marc VallÃ©e,,Reese Witherspoon,Gaby Hoffmann,Michiel Huisman,Charles Baker,,"$15,000,000.00","$52,500,000.00"
Winter's Tale,13-02-2014,Drama,Akiva Goldsman,,Colin Farrell,Russell Crowe,Jessica Brown Findlay,Jennifer Connelly,Will Smith,"$60,000,000.00","$31,100,000.00"
Wish I Was Here,18-01-2014,Drama,Zach Braff,,Zach Braff,Kate Hudson,Jim Parsons,Mandy Patinkin,Ashley Greene,"$6,000,000.00","$5,500,000.00"
Woman in Gold,01-04-2015,Drama,Simon Curtis,,Helen Mirren,Ryan Reynolds,Daniel BrÃ¼hl,Katie Holmes,Tatiana Maslany,"$11,000,000.00","$61,600,000.00"
Won't Back Down,28-09-2012,Drama,Daniel Barnz,,Viola Davis,Maggie Gyllenhaal,Holly Hunter,Ving Rhames,Rosie Perez,"$19,000,000.00","$5,400,000.00"
Woodlawn,16-10-2015,Drama,The Erwin Brothers,,Sean Astin,Nic Bishop,Caleb Castille,Sherri Shepherd,Jon Voight,"$13,000,000.00","$14,400,000.00"
World War Z,21-06-2013,Action,Marc Forster,,Brad Pitt,Mireille Enos,James Badge Dale,Daniella Kertesz,Matthew Fox,"$190,000,000.00","$540,000,000.00"
Wrath of the Titans,30-03-2012,Action,Jonathan Liebesman,,Sam Worthington,Liam Neeson,Ralph Fiennes,Edgar Ramirez,Rosamund Pike,"$150,000,000.00","$305,300,000.00"
X-Men: Apocalypse,09-05-2016,Action,Bryan Singer,,James McAvoy,Michael Fassbender,Jennifer Lawrence,Oscar Isaac,Nicholas Hoult,"$178,000,000.00","$544,600,000.00"
X-Men: Days of Future Past,10-05-2014,Action,Bryan Singer,,Hugh Jackman,James McAvoy,Michael Fassbender,Halle Berry,Jennifer Lawrence,"$200,000,000.00","$747,900,000.00"
You're Next,23-08-2013,Horror,Adam Wingard,,Sharni Vinson,Joe Swanberg,AJ Bowen,Nicholas Tucci,Barbara Crampton,"$1,000,000.00","$26,800,000.00"
Zero Dark Thirty,19-12-2012,Drama,Kathryn Bigelow,,Jessica Chastain,Chris Pratt,Joel Edgerton,Kyle Chandler,Jason Clarke,"$40,000,000.00","$132,800,000.00"
Zhong Kui: Snow Girl and the Dark Crystal,19-02-2015,Romance,Peter Pau,,Li Bingbing,Chen Kun,Yang Zishan,Winston Chao,Bao Bei'er,"$30,000,000.00","$64,470,000.00"
Zoolander 2,12-02-2016,Comedy,Ben Stiller,,Ben Stiller,Owen Wilson,Christine Taylor,Will Ferrell,PenÃ©lope Cruz,"$50,000,000.00","$56,000,000.00"
